Application Number,Project Title,Project Description ,Applicant,Applicant Type,Project Type,Application Date,State Agency Requested for Funding,Funding Request ($),Total Project Budget ($),Funding Decision Year,Award Date,Grant Award ($),Encumbered ($),Natural Infrastructure,Gray Infrastructure,Hybrid Solution,Flood Risk Metric(s),City/Town,County,Place ID,,,,,,,
1,Flood mitigation Currie/Duplin street,"The stormwater drainage canal located between Duplin and Currie Streets in Wallace experiences flooding during major storms and periods of heavy rainfall occurring within a short period of time. Continued flooding has resulted in caving in and widening of the canal which is now in danger of undermining nearby houses. Previous efforts by the Town to haul in dirt to shore up the bank have not provided a viable long term solution. Golden LEAF flood mitigation grant funds will be used to install sheet piling and rip rap along the bank to stop erosion, improve the transport of stormwater, and significantly reduce flooding along the canal. This canal carries one third of total stormwater for the town and connects downstream to the main branch of Little Rockfish Creek, which is the town’s main drainage area. There are two households in the immediate project area. The flooding and erosion also threaten a main sewer line that crosses over and runs parallel to the canal,  and which must be inspected for damage and exposure after each heavy rain event.
",Town of Wallace,Local Government,Infrastructure,2/22/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,"$250,000.00 ","$250,000.00 ",,,,,Wallace,Duplin,,,,,,,,
2,Town-wide Hydrologic + Hydraulic (H+H) Analysis,"Lillington is subject to frequent flooding which makes roads impassable and reduces access to emergency services. The town began to recognize how severe the stormwater system’s limitations are after a major rainstorm in 2020. Following the rain event, the town identified several areas of inadequate and damaged stormwater infrastructure. Golden LEAF flood mitigation grant funds will be used for engineering expenses for analysis and planning regarding ten flooding hotspots. There are households, public and private entities within the immediate project area of the identified hotspots. The entire town will benefit from this project. Major highways, including NC 210, US 401, US 421, and NC 27 will also benefit since they pass through Lillington and are frequently closed during heavy rain events.",Town of Lillington,Local Government,Planning,2/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,"$225,250.00 ","$225,250.00 ",,,,,Lillington,Harnett,,,,,,,,
3,Surf City South Shore Flood Mitigation Project,"The 2200 block of South Shore Drive in Surf City experiences flooding on the roadway due to insufficient stormwater infrastructure. Stormwater runoff is trapped on the road by higher elevation of driveways serving houses along the road. Heavy rainfall causes flooding that obstructs passage of vehicles, including public safety vehicles. This road is the only way in and out of southern Surf City and serves the entirety of Topsail Beach. A feasibility study of the overall stormwater issues along South Shore Drive developed a specific solution to address the issue. Golden LEAF flood mitigation grant funds will be used to install a catch basin with drain pipe to convey stormwater to a new infiltration chamber system that collects and releases stormwater back into native soils. Once completed, the town’s utilities staff will maintain the system. The project will directly serve households, and public and private entities.",Town of Surf City,Local Government,Infrastructure,2/25/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,"$250,000.00 ","$250,000.00 ",,,,,Surf City,Pender,,,,,,,,
4,Flood Mitigation for the Linkhaw Road Area,"Lumberton, specifically in the area of Linkhaw Road, experiences flooding in any 2-inch or greater rain event. The city completed several studies to develop strategies to resolve flooding throughout the city. This project area is part of its existing studies and is located along a major thoroughfare that is in a 518-acre drainage area. The specific project site is at the downstream end of a drainage ditch that has larger pipes upstream. Due to the undersized existing piping, this project site creates a bottleneck for stormwater flow. Golden LEAF flood mitigation grant funds will be used to upsize the capacity of stormwater at the juncture of Linkhaw Rd and the railroad. The applicant proposes to install stormwater infrastructure to increase the capacity of the flow under the railroad which will require widening the canal to accommodate it. The stormwater will flow into a culvert downstream and into an existing impoundment area. Once the infrastructure work is completed, the city will be able to utilize the road more reliably for emergency services. There are households, public and private entities (including a kidney dialysis center), and a nursing facility in the immediate project area.",City of Lumberton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,"$250,000.00 ","$250,000.00 ",,,,,Lumberton,Robeson,,,,,,,,
5,Edenton Old Hertford Hazard Mitigation Project 2022,"The eastern portion of Edenton is subject to stormwater flooding due to the limited capacity of downstream culverts that extend under Old Hertford Road. Golden LEAF flood mitigation grant funds will be used to replace an existing pipe under Old Hertford Road with a box culvert design and replace existing piping downstream of Old Hertford Road with two larger lines. Improving the transport of stormwater runoff from this area will also allow the town to focus on upstream improvements previously limited by this downstream bottleneck. There are households, businesses and residential care homes for adults with special needs in the immediate project area. Due to the bottleneck in this area, areas upstream feel impacts from flooding as well.",Town of Edenton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,"$249,300.00 ","$249,300.00 ",,,,,Edenton,Chowan,,,,,,,,
6,Dawson-Hunter Stormwater Improvement Study,"The Dawson-Hunter neighborhood in Elizabeth City is subject to flooding due to low elevation and proximity to Charles Creek and the Pasquotank River. Repetitive flooding is limiting access for residents, damaging state and local roads, and creating risks of damage to water and sewer pipe beds. Golden LEAF flood mitigation grant funds will be used to perform necessary assessment and analysis of the drainage basin and stormwater infrastructure, and to develop and prioritize stormwater control measures that will mitigate repetitive flooding as cost-effectively as possible. NCDEQ Division of Water Resources awarded the city a $100,000 Water Resources Development Grant to fund 50 percent of eligible costs for stormwater planning in the area; this grant will provide the remaining funding for that planning process. The project will directly benefit households located in the neighborhood.",City of Elizabeth City,Local Government,Planning,3/7/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,"$100,000.00 ","$100,000.00 ",,,,,Elizabeth City,Pasquotank,,,,,,,,
7,"Elizabethtown Stormwater Master Plan and Assessment, Phase 1","Elizabethtown experiences frequent flooding with more noticeable impacts in its central subbasin, eastern subbasin, and along Glenwood Drive in the western part of the town. The town is characterized by fairly flat, low-lying topography, which causes floodwaters to stand longer. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Master Plan. Components of this project include updating the town’s asset inventory, field data collection, modeling of existing watersheds, development of concept plans, and a summary report that will include recommendations. As this is a town-wide project, the benefiting population includes all households and public and private entities in the town.",Town of Elizabethtown,Local Government,Planning,3/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,"$132,000.00 ","$132,000.00 ",,,,,Elizabethtown,Bladen,,,,,,,,
8,Channel Run Phase II,"River Bend, specifically in the Channel Run Subdivision, is subject to frequent flooding due to its topography. Following Hurricane Florence, the town contracted with an engineer to investigate the area, assess elevations, and make recommendations to improve drainage to reduce flooding. Golden LEAF flood mitigation grant funds will be used to implement Phase II of the project, re-grading and resloping natural drainage infrastructure (ditches) throughout the community. Completion of Phase II will ensure that water flows efficiently and effectively to mitigate flooding. All of the work will be done within the town's rights-of-way or within stormwater outfall lines already owned by the town. The town will contribute funds to complete the project. There are households located in the immediate project areas, with additional households in the neighborhood that will also benefit from reduced flooding after completion of Phase II. This project will also reduce flooding on a primary road through the development. ",Town of River Bend,Local Government,Infrastructure,3/14/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,"$250,000.00 ","$250,000.00 ",,,,,River Bend,Craven,,,,,,,,
9,Clinton Weeks Street Hazard Mitigation Project 2022,"The City of Clinton experiences frequent flooding along Weeks Street, including three major flooding events in 2021. During flooding events along Weeks Street, emergency vehicles are unable to access residences and surrounding roads (including Highway 24) are overtopped. A 2020 preliminary drainage feasibility study found that flooding is likely caused by an undersized pipe system with minimal elevation change. Currently, the existing drainage route runs along Weeks Street into the drainage route from Smithfield Packing Company. Golden LEAF flood mitigation grant funds will be used to reroute the existing drainage system into a separate path to cross Highway 24 and into an existing farm ditch. Additional curb inlets and reinforced concrete pipe will be installed to support the design. City and other funds will be used to improve the existing farm ditch which currently collects runoff. Households in the project area and vehicles traveling on adjacent roads will benefit from this project.",Town of Clinton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,"$250,000 ","$250,000 ",,,,,Clinton,Sampson,,,,,,,,
10,Oxford Stormwater Master Plan,"The City of Oxford experiences flooding throughout the city during heavy, unnamed, non-tropical rain events. During these flooding events, public works staff cannot access critical infrastructure at the wastewater treatment plant. The city has begun to prioritize stormwater management over the past few years including stormwater mitigation efforts along Goshen Street. To create a master plan, the applicant is requesting Golden LEAF flood mitigation grant funds to map stormwater infrastructure within the entire jurisdiction and perform modeling along sub-basins west and parallel to College Street and Martin Luther King Jr. Avenue. Additional data collection, modeling of existing watersheds, and the development of concept plans and alternatives will also be completed. The city plans to use the data acquired from this project for future stormwater improvement grant opportunities and to prioritize projects funded by their stormwater utility fund. The entire city will benefit from this project.",City of Oxford,Local Government,Planning,3/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,"$125,000 ","$125,000 ",,,,,Oxford,Granville,,,,,,,,
11,Engineering Costs for Planning and Development of Flood Mitigation Solutions for the Adkin Branch Stream,"The City of Kinston experiences flooding along Adkin Branch which runs through many residential areas and commercial/business districts. When flooding occurs along Adkin Branch, residents are restricted from accessing emergency services and nearby medical offices. The city will use Golden LEAF flood mitigation grant funds to review existing data sources, collect additional data from field surveys, begin permitting processes, and to update existing models as needed. The city will also use funds for project coordination, and to develop a plan for flood mitigation solutions. The city has committed to funding remaining costs associated with this project from its stormwater utility fund. The city has also received funding from North Carolina Emergency Management for Stage 2 improvements along Adkin Branch. Households in the immediate project area and surrounding areas in the city will benefit from this project.",City of Kinston,Local Government,Planning,3/21/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,"$250,000 ","$250,000 ",,,,,Kinston,Lenoir,,,,,,,,
12,Town of Aurora Drainage Ditch and Tributary Maintenance and Easement Plan,"The Town of Aurora experiences frequent flooding in heavy rainfall events, specifically in the northeast section of town. The ditches and tributaries no longer empty water at the speed at which they did previously. Aurora participated in the N.C. Resilient Coastal Communities Program and, through a public input process, prioritized assessing this existing infrastructure to address flooding. Golden LEAF flood mitigation grant funds will be used to create a maintenance plan and schedule for all the ditches and tributaries within the town’s jurisdiction and to determine a list of easements that will be required to implement the recommendations for maintenance. The entire town will benefit from the completion of this project.",Town of Aurora,Local Government,Planning,4/27/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,"$225,000 ","$225,000 ",,,,,Aurora,Beaufort,,,,,,,,
13,"Holly, Walnut and Redwood Stormwater Project","Boiling Spring Lakes experiences flooding several times a year along Holly, Walnut, and Redwood roads. In 2014, a preliminary engineering report was conducted along these roads to determine optimal solutions to reduce flooding in the area. A 2021 stormwater management master plan prioritized this project. When flooding occurs in this area, homes experience flooding for multiple days. Boiling Spring Lakes will use Golden LEAF flood mitigation grant funds to install stormwater infrastructure along the areas of Holly, Walnut, and Redwood roads. Project activities include digging approximately 3,000 linear feet of drainage ditches with the installation of driveway pipes and several spans of reinforced concrete pipe. Households in the project area will benefit from this project.",City of Boiling Springs Lakes,Local Government,Infrastructure,5/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,"$250,000 ","$250,000 ",,,,,Boiling Springs Lakes,Brunswick,,,,,,,,
14,Hickman Road Flood Mitigation,The Town of Tabor City reports that the existing drainage ditch running perpendicular to Hickman Road in the southern part of town is prone to frequent flooding during heavy rain events. Streets and residential properties in the area are often left flooded for extended periods of time. Golden LEAF flood mitigation grant funds will be used to install infrastructure to enclose the ditch and improve drainage to eliminate flooding in the area. An exposed water line running along the slope of the ditch will be abandoned and water services will be reconnected to existing water lines located upstream. Households and vehicles traveling on adjacent roads in the immediate project area will benefit from this project.,Town of Tabor City,Local Government,Infrastructure,5/10/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,"$175,000 ","$175,000 ",,,,,Tabor City,Columbus,,,,,,,,
15,Town of Hertford Stormwater Master Plan,"The Town of Hertford experiences flooded streets during heavy rain events, preventing access to public and private property and creating high volumes at the wastewater treatment facility due to inflow and infiltration. Conditions are attributed to stormwater infrastructure collapsed or shifted by severe flooding during hurricanes that prevents runoff from draining properly. The town will use Golden LEAF flood mitigation grant funds to perform necessary field data collection and performance modeling of existing watersheds, map the location and condition of stormwater assets, and develop concept plans and alternatives that will allow the town to identify and prioritize improvement options and create opinions of probable cost. Development of a stormwater master plan will serve the entire town, though modeling and improvements will focus on three sub-watersheds that drain into Jennie's Gut, Perquimans River, and Lakers Creek. Frequent flooding around Stokes, White, and Front streets make stormwater improvements in these areas a priority. Once completed, the town will incorporate recommendations into annual capital improvement planning and pursue grant funds to implement recommendations. The majority of the town will benefit from this project.",Town of Hertford,Local Government,Planning,6/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,"$90,000 ","$90,000 ",,,,,Hertford,Perquimans,,,,,,,,
